Rank,Title,Duration (min),Rating,Director,Cast,Release Date,Production Cost,Worldwide Gross,Opening Weekend,MPAA,Genre
129,Valerian and the City of a Thousand Planets,136.0,6.4,Luc Besson,"Dane DeHaan, Cara Delevingne, Clive Owen, Rihanna",2017-07-20,180000000,215098356,17007624.0,PG-13,Adventure
130,Jupiter Ascending,127.0,5.3,Lana Wachowski,"Lilly Wachowski, Channing Tatum, Mila Kunis, Eddie Redmayne, Sean Bean",2015-02-06,179000000,181982519,18372372.0,PG-13,Action
132,X-Men: Apocalypse,144.0,6.9,Bryan Singer,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult",2016-05-18,178000000,542537546,65769562.0,PG-13,Action
133,The Meg,113.0,5.7,Jon Turteltaub,"Jason Statham, Bingbing Li, Rainn Wilson, Cliff Curtis",2018-08-09,178000000,527370715,45402195.0,PG-13,Action
134,Edge of Tomorrow,113.0,7.9,Doug Liman,"Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson",2014-05-28,178000000,367028980,28760246.0,PG-13,Action
135,Captain Marvel,123.0,6.8,Anna Boden,"Ryan Fleck, Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Jude Law",2019-03-06,175000000,1129727388,153433423.0,PG-13,Action
136,The Jungle Book,106.0,7.4,Jon Favreau,"Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba",2016-04-07,175000000,953554418,103261464.0,PG,Adventure
137,The Jungle Book,78.0,7.6,Wolfgang Reitherman,"Phil Harris, Sebastian Cabot, Louis Prima, Bruce Reitherman",2016-04-07,175000000,953554418,103261464.0,PG,Adventure
138,The Jungle Book,111.0,6.0,Stephen Sommers,"Jason Scott Lee, Cary Elwes, Lena Headey, Sam Neill",2016-04-07,175000000,953554418,103261464.0,PG,Adventure
139,Inside Out,95.0,8.1,Pete Docter,"Ronnie Del Carmen, Amy Poehler, Bill Hader, Lewis Black, Mindy Kaling",2015-06-12,175000000,853003563,90440272.0,PG,Adventure
140,Spider-Man: Homecoming,133.0,7.4,Jon Watts,"Tom Holland, Michael Keaton, Robert Downey Jr., Marisa Tomei",2017-07-05,175000000,878346440,117027503.0,PG-13,Action
141,Suicide Squad,123.0,5.9,David Ayer,"Will Smith, Jared Leto, Margot Robbie, Viola Davis",2016-08-02,175000000,745744980,133682248.0,PG-13,Action
142,Up,96.0,8.3,Pete Docter,"Bob Peterson, Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer",2009-05-28,175000000,731463377,68108790.0,PG,Adventure
143,Coco,105.0,8.4,Lee Unkrich,"Adrian Molina, Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach",2017-10-27,175000000,797666425,50802605.0,PG,Musical
145,Monsters vs. Aliens,94.0,6.4,Rob Letterman,"Conrad Vernon, Reese Witherspoon, Rainn Wilson, Stephen Colbert, Seth Rogen",2009-03-27,175000000,381687380,59321095.0,PG,Adventure
146,Cars 3,102.0,6.7,Brian Fee,"Owen Wilson, Cristela Alonzo, Chris Cooper, Nathan Fillion",2017-06-16,175000000,383541369,53688680.0,G,Adventure
147,G.I. Joe: The Rise of Cobra,118.0,5.7,Stephen Sommers,"Dennis Quaid, Channing Tatum, Marlon Wayans, Adewale Akinnuoye-Agbaje",2009-08-07,175000000,302469017,54713046.0,PG-13,Action
148,Wild Wild West,106.0,4.9,Barry Sonnenfeld,"Will Smith, Kevin Kline, Kenneth Branagh, Salma Hayek",1999-06-30,175000000,221229335,27687484.0,PG-13,Adventure
149,The Mummy: Tomb of the Dragon Emperor,112.0,5.2,Rob Cohen,"Brendan Fraser, Jet Li, Maria Bello, Michelle Yeoh",2008-08-01,175000000,405760225,40457770.0,PG-13,Adventure
